1611632378.93,227;
1611632379.92,227;
1611632380.93,227;
1611632381.92,230;
1611632382.93,0;
1611632383.92,65;
1611632384.93,510;
1611632385.92,992;
1611632386.93,1021;
1611632387.92,1021;
1611632388.93,1022;
1611632389.92,1022;
1611632390.93,1021;
1611632391.92,1022;
1611632392.93,1022;
1611632393.92,1022;
1611632394.93,1021;
1611632395.92,1022;
1611632396.93,1022;
1611632397.92,1022;
1611632398.93,1021;
1611632399.92,1022;
1611632400.93,1022;
1611632401.92,1021;
1611632402.93,1022;
1611632403.92,1022;
1611632404.93,1022;
1611632405.92,1021;
1611632406.93,1022;
1611632407.92,1022;
1611632408.93,1022;
1611632409.92,1021;
1611632410.93,1022;
1611632411.92,1022;
1611632412.93,1021;
1611632413.92,1022;
1611632414.93,1022;
1611632415.92,1022;
1611632416.93,1021;
1611632417.92,1021;
1611632418.93,1022;
1611632419.92,1021;
1611632420.93,1021;
1611632421.92,1013;
1611632422.93,87;
1611632423.92,10;
1611632424.93,178;
1611632425.92,308;
1611632426.93,308;
1611632427.92,307;
1611632428.93,307;
1611632790.94,308;
1611632826.94,308;
1611632885.94,308;
1611632901.94,308;
1611632929.94,308;
1611633138.94,308;
1611633258.93,308;
1611633284.94,307;
1611633404.94,307;
1611633417.94,308;
1611633418.95,308;
1611633419.94,308;
1611633420.95,308;
1611633421.94,308;
1611633422.95,308;
1611633423.94,158;
1611633424.95,0;
1611633425.94,0;
1611633426.95,0;
1611633427.94,402;
1611633428.95,1003;
1611633429.94,982;
1611633430.95,982;
1611633431.94,982;
1611633432.95,980;
1611633433.94,980;
1611633434.95,979;
1611633435.94,979;
1611633436.95,979;
1611633437.94,979;
1611633438.95,979;
1611633439.94,979;
1611633440.95,979;
1611633441.94,979;
1611633442.95,979;
1611633443.94,979;
1611633444.95,979;
1611633445.94,979;
1611633450.95,979;
1611633451.94,979;
1611633452.95,978;
1611633453.94,979;
1611633454.95,979;
1611633455.94,979;
1611633456.95,978;
1611633457.94,979;
1611633458.95,978;
1611633470.95,978;
1611633471.94,978;
1611633472.95,978;
1611633473.94,978;
1611633474.95,575;
1611633475.94,0;
1611633476.95,176;
1611633477.94,1021;
1611633478.95,1021;
1611633479.94,1022;
1611633480.95,1022;
1611633481.94,1021;
1611633482.95,1022;
1611633483.94,1021;
1611633484.95,1022;
1611633485.94,1022;
1611633486.95,1022;
1611633487.94,1021;
1611633488.95,1022;
1611633489.94,1022;
1611633490.95,1021;
1611633491.94,1022;
1611633492.95,1022;
1611633493.94,1022;
1611633494.95,1021;
1611633495.94,1022;
1611633496.95,1022;
1611633497.94,1022;
1611633500.95,1022;
1611633711.95,1022;
1611633734.94,1022;
1611633837.94,1022;
1611633879.95,1021;
1611633930.95,1021;
1611634091.96,1022;
1611634387.96,1022;
1611634388.97,1022;
1611634389.96,1021;
1611634390.96,1022;
1611634391.96,1022;
1611634392.96,1021;
1611634393.96,1022;
1611634394.96,1022;
1611634395.96,764;
1611634396.96,397;
1611634397.96,884;
1611634398.96,919;
1611634399.96,918;
1611634400.96,918;
1611634401.96,918;
1611634480.97,918;
1611634820.98,918;
1611635043.98,918;
1611635044.99,918;
1611635045.98,918;
1611635046.97,917;
1611635047.98,918;
1611635048.97,918;
1611635049.98,918;
1611635050.97,918;
1611635051.98,917;
1611635052.97,918;
1611635053.98,918;
1611635054.97,917;
1611635055.98,918;
1611635056.97,918;
1611635057.98,918;
1611635058.97,917;
1611635059.98,917;
1611635060.97,918;
1611635061.98,918;
1611635062.97,918;
1611635063.98,918;
1611635064.97,918;
1611635065.98,918;
1611635068.97,918;
1611635069.98,917;
1611635070.97,917;
1611635071.98,918;
1611635072.97,918;
1611635073.98,917;
1611635074.97,918;
1611635075.98,917;
1611635076.97,918;
1611635077.98,918;
1611635078.97,918;
1611635079.98,917;
1611635080.97,917;
1611635081.98,917;
1611635082.98,918;
1611635083.98,918;
1611635084.98,917;
1611635085.98,918;
1611635086.98,918;
1611635087.98,917;
1611635088.98,918;
1611635089.98,918;
1611635090.98,917;
1611635091.98,917;
1611635092.98,918;
1611635093.98,918;
1611635094.98,918;
1611635095.98,918;
1611635096.98,918;
1611635097.98,918;
1611635098.98,918;
1611635099.98,918;
1611635100.98,917;
1611635101.98,918;
1611635102.98,917;
1611635132.98,917;
1611635175.98,918;
